Frequency (Hz)	Level (dB)
2939.282227	-30.930185
2950.048828	-30.723705
2960.815430	-31.452646
2971.582031	-31.599880
2982.348633	-30.515270
2993.115234	-29.246508
3003.881836	-29.463356
3014.648438	-31.806908
3025.415039	-32.260494
3036.181641	-29.509779
3046.948242	-28.356588
3057.714844	-27.989525
3068.481445	-26.592079
3079.248047	-25.294382
3090.014648	-24.966711
3100.781250	-26.244196
3111.547852	-29.025454
3122.314453	-30.592363
3133.081055	-28.564331
3143.847656	-25.904325
3154.614258	-24.772362
3165.380859	-25.067745
3176.147461	-26.000292
3186.914062	-25.574986
3197.680664	-24.256208
3208.447266	-24.262468
3219.213867	-24.709536
3229.980469	-23.851698
3240.747070	-23.737268
3251.513672	-24.398844
3262.280273	-24.012175
3273.046875	-22.942667
3283.813477	-21.898258
3294.580078	-21.157619
3305.346680	-21.391657
3316.113281	-22.312607
3326.879883	-22.801910
3337.646484	-23.128326
3348.413086	-23.811613
3359.179688	-25.137333
3369.946289	-26.202070
3380.712891	-25.870111
3391.479492	-25.710398
3402.246094	-25.932417
3413.012695	-25.306974
3423.779297	-24.891611
3434.545898	-24.840549
3445.312500	-23.574488
3456.079102	-22.547400
3466.845703	-22.205301
3477.612305	-22.159212
3488.378906	-22.634687
3499.145508	-24.018980
3509.912109	-26.373346
3520.678711	-28.355698
3531.445312	-28.650244
3542.211914	-29.467314
3552.978516	-30.475969
3563.745117	-30.455708
3574.511719	-30.294250
3585.278320	-29.481178
3596.044922	-29.328428
3606.811523	-29.838964
3617.578125	-29.125092
3628.344727	-29.006775
3639.111328	-30.974478
3649.877930	-33.082035
3660.644531	-33.279316
3671.411133	-32.750969
3682.177734	-33.176807
3692.944336	-32.889256
3703.710938	-31.361902
3714.477539	-30.674627
3725.244141	-29.757629
3736.010742	-29.360588
3746.777344	-29.124025
3757.543945	-27.125202
3768.310547	-26.679871
3779.077148	-28.080137
3789.843750	-30.070732
3800.610352	-30.755293
3811.376953	-28.736343
3822.143555	-26.768381
3832.910156	-24.980112
3843.676758	-23.729149
3854.443359	-22.899345
3865.209961	-23.067390
3875.976562	-23.597849
3886.743164	-24.572569
3897.509766	-27.131386
3908.276367	-28.726654
3919.042969	-27.246986
3929.809570	-26.718210
3940.576172	-25.740206
3951.342773	-24.601778
3962.109375	-24.313929
3972.875977	-24.727592
3983.642578	-25.111103
3994.409180	-25.299520
4005.175781	-25.707111
4015.942383	-24.527384
4026.708984	-23.783773
4037.475586	-23.804337
4048.242188	-24.078913
4059.008789	-24.857788
4069.775391	-25.091181
4080.541992	-24.505766
4091.308594	-24.151033
4102.075195	-23.340219
4112.841797	-22.629360
4123.608398	-22.647573
4134.375000	-23.098547
4145.141602	-23.932177
4155.908203	-24.334782
4166.674805	-24.587410
4177.441406	-25.415430
4188.208008	-25.292673
4198.974609	-24.826117
4209.741211	-24.567547
4220.507812	-25.105955
4231.274414	-25.573479
4242.041016	-25.484278
4252.807617	-25.809921
4263.574219	-26.712236
4274.340820	-27.901968
4285.107422	-29.292236
4295.874023	-28.995785
4306.640625	-28.698200
4317.407227	-28.927683
4328.173828	-28.721201
4338.940430	-28.587173
4349.707031	-29.292070
4360.473633	-30.633593
4371.240234	-30.544609
4382.006836	-29.439312
4392.773438	-28.456129
4403.540039	-27.549788
4414.306641	-28.098099
4425.073242	-29.569233
4435.839844	-30.555702
4446.606445	-32.445694
4457.373047	-36.047729
4468.139648	-34.679379
4478.906250	-31.645695
4489.672852	-30.020693
4500.439453	-29.380503
4511.206055	-29.560633
4521.972656	-30.673130
4532.739258	-31.518282
4543.505859	-31.675894
4554.272461	-30.654390
4565.039062	-29.849590
4575.805664	-29.841787
4586.572266	-31.159224
4597.338867	-32.649235
4608.105469	-34.270412
4618.872070	-35.271893
4629.638672	-33.889797
4640.405273	-32.217812
4651.171875	-30.965059
4661.938477	-31.508892
4672.705078	-34.059181
4683.471680	-38.044777
4694.238281	-41.847923
4705.004883	-39.519131
4715.771484	-34.466805
4726.538086	-31.391008
4737.304688	-30.434849
4748.071289	-30.016220
4758.837891	-29.791571
4769.604492	-30.639120
4780.371094	-32.077766
4791.137695	-33.428425
4801.904297	-33.174946
4812.670898	-31.528788
4823.437500	-30.989626
4834.204102	-31.392563
4844.970703	-31.604151
4855.737305	-32.118984
4866.503906	-31.704170
4877.270508	-31.134754
4888.037109	-30.901735
4898.803711	-30.741776
4909.570312	-30.721573
4920.336914	-31.141247
4931.103516	-32.388214
4941.870117	-33.667671
4952.636719	-34.856152
4963.403320	-34.895893
4974.169922	-34.198063
4984.936523	-32.646820
4995.703125	-31.244989
5006.469727	-30.970392
5017.236328	-31.185701
5028.002930	-30.945221
5038.769531	-30.961273
5049.536133	-31.513760
5060.302734	-31.333946
5071.069336	-30.743372
5081.835938	-30.889248
5092.602539	-31.541391
5103.369141	-32.099487
5114.135742	-32.341785
5124.902344	-33.497231
5135.668945	-35.045525
5146.435547	-35.788063
5157.202148	-34.982494
5167.968750	-33.998356
5178.735352	-33.246506
5189.501953	-33.030838
5200.268555	-33.601425
5211.035156	-33.158653
5221.801758	-32.380573
