Frequency (Hz)	Level (dB)
2939.282227	-28.158712
2950.048828	-28.221760
2960.815430	-28.486135
2971.582031	-28.288565
2982.348633	-28.375856
2993.115234	-27.952328
3003.881836	-27.846889
3014.648438	-28.378136
3025.415039	-27.296387
3036.181641	-26.086048
3046.948242	-25.793507
3057.714844	-25.342062
3068.481445	-24.094446
3079.248047	-23.655315
3090.014648	-24.430838
3100.781250	-24.994108
3111.547852	-25.376007
3122.314453	-25.941475
3133.081055	-25.434244
3143.847656	-24.716816
3154.614258	-25.072298
3165.380859	-25.830065
3176.147461	-26.692511
3186.914062	-28.705750
3197.680664	-30.574305
3208.447266	-29.905727
3219.213867	-29.202280
3229.980469	-28.922415
3240.747070	-28.608162
3251.513672	-29.246023
3262.280273	-28.782951
3273.046875	-27.517918
3283.813477	-26.901791
3294.580078	-26.382727
3305.346680	-27.216112
3316.113281	-28.017090
3326.879883	-26.764122
3337.646484	-26.677774
3348.413086	-27.450167
3359.179688	-27.389105
3369.946289	-27.387730
3380.712891	-28.430199
3391.479492	-28.058651
3402.246094	-26.279184
3413.012695	-26.298050
3423.779297	-27.919710
3434.545898	-27.342594
3445.312500	-26.429739
3456.079102	-26.665215
3466.845703	-27.338547
3477.612305	-28.013149
3488.378906	-28.141048
3499.145508	-27.225031
3509.912109	-27.223276
3520.678711	-27.743942
3531.445312	-26.539019
3542.211914	-24.778477
3552.978516	-23.945129
3563.745117	-23.802095
3574.511719	-23.866701
3585.278320	-23.762260
3596.044922	-24.007910
3606.811523	-23.461536
3617.578125	-23.368565
3628.344727	-25.631529
3639.111328	-28.843927
3649.877930	-28.859222
3660.644531	-28.074667
3671.411133	-28.817160
3682.177734	-29.171940
3692.944336	-26.941399
3703.710938	-25.601133
3714.477539	-24.438795
3725.244141	-22.463726
3736.010742	-21.225023
3746.777344	-20.848196
3757.543945	-21.262215
3768.310547	-22.192757
3779.077148	-23.547613
3789.843750	-24.645874
3800.610352	-25.558578
3811.376953	-25.931770
3822.143555	-24.407436
3832.910156	-22.804159
3843.676758	-22.692253
3854.443359	-22.489746
3865.209961	-22.728153
3875.976562	-23.569311
3886.743164	-24.665798
3897.509766	-26.682922
3908.276367	-27.488895
3919.042969	-25.619974
3929.809570	-24.639124
3940.576172	-23.252527
3951.342773	-21.410698
3962.109375	-20.506849
3972.875977	-20.810055
3983.642578	-22.137648
3994.409180	-23.107391
4005.175781	-23.597639
4015.942383	-23.637257
4026.708984	-22.994392
4037.475586	-22.163149
4048.242188	-21.865946
4059.008789	-22.286163
4069.775391	-22.812279
4080.541992	-23.559725
4091.308594	-23.980003
4102.075195	-23.804253
4112.841797	-23.795713
4123.608398	-24.453800
4134.375000	-25.345854
4145.141602	-26.449726
4155.908203	-26.661566
4166.674805	-25.995211
4177.441406	-25.246847
4188.208008	-24.497570
4198.974609	-23.807999
4209.741211	-23.611126
4220.507812	-24.268896
4231.274414	-25.110880
4242.041016	-25.921598
4252.807617	-27.043327
4263.574219	-28.681387
4274.340820	-29.463415
4285.107422	-28.948221
4295.874023	-27.890219
4306.640625	-26.795759
4317.407227	-25.717154
4328.173828	-25.981178
4338.940430	-27.290571
4349.707031	-27.787504
4360.473633	-26.814808
4371.240234	-26.113426
4382.006836	-26.684237
4392.773438	-27.932995
4403.540039	-28.086761
4414.306641	-29.370495
4425.073242	-32.448536
4435.839844	-36.101238
4446.606445	-38.082920
4457.373047	-34.965111
4468.139648	-30.774939
4478.906250	-28.684471
4489.672852	-28.045361
4500.439453	-28.924450
4511.206055	-29.389704
4521.972656	-28.854044
4532.739258	-28.455275
4543.505859	-27.810209
4554.272461	-26.645973
4565.039062	-26.224979
4575.805664	-26.677080
4586.572266	-27.555483
4597.338867	-27.182762
4608.105469	-26.861872
4618.872070	-27.153749
4629.638672	-27.967859
4640.405273	-28.449629
4651.171875	-28.402798
4661.938477	-28.441566
4672.705078	-29.267382
4683.471680	-30.281763
4694.238281	-30.033926
4705.004883	-28.641417
4715.771484	-26.897345
4726.538086	-25.320551
4737.304688	-25.301369
4748.071289	-25.973595
4758.837891	-26.477745
4769.604492	-27.866951
4780.371094	-29.623886
4791.137695	-29.214617
4801.904297	-28.366180
4812.670898	-27.905371
4823.437500	-27.041912
4834.204102	-27.137041
4844.970703	-27.506901
4855.737305	-27.842981
4866.503906	-28.214684
4877.270508	-28.360838
4888.037109	-28.337189
4898.803711	-28.478882
4909.570312	-28.501686
4920.336914	-29.554897
4931.103516	-32.033405
4941.870117	-31.647478
4952.636719	-30.153826
4963.403320	-30.078278
4974.169922	-30.439140
4984.936523	-29.328707
4995.703125	-28.355007
5006.469727	-28.629065
5017.236328	-29.925772
5028.002930	-31.997578
5038.769531	-33.564941
5049.536133	-34.558701
5060.302734	-34.439964
5071.069336	-34.818958
5081.835938	-35.703915
5092.602539	-35.978409
5103.369141	-36.528332
5114.135742	-37.949520
5124.902344	-38.634140
5135.668945	-38.383965
5146.435547	-38.345814
5157.202148	-36.265369
5167.968750	-34.070534
5178.735352	-33.175068
5189.501953	-33.384613
5200.268555	-33.775944
5211.035156	-32.950619
5221.801758	-33.167130
5232.568359	-35.332657
5243.334961	-36.206535
5254.101562	-35.035358
5264.868164	-33.959229
5275.634766	-34.726898
5286.401367	-35.776279
5297.167969	-35.033394
5307.934570	-33.834488
5318.701172	-33.381725
5329.467773	-33.698528
5340.234375	-34.936172
5351.000977	-36.007099
5361.767578	-36.159008
5372.534180	-35.326172
5383.300781	-34.076427
5394.067383	-33.425690
5404.833984	-33.456352
5415.600586	-34.258472
5426.367188	-34.236187
5437.133789	-33.285336
5447.900391	-32.308964
5458.666992	-31.743675
5469.433594	-32.207462
5480.200195	-33.276226
5490.966797	-34.195957
5501.733398	-33.236591
5512.500000	-31.976614
5523.266602	-31.764532
5534.033203	-32.364719
5544.799805	-33.627342
5555.566406	-35.437420
5566.333008	-38.339752
5577.099609	-38.326824
5587.866211	-35.260803
5598.632812	-33.736881
5609.399414	-33.699902
5620.166016	-33.972195
5630.932617	-33.861862
5641.699219	-34.045765
5652.465820	-33.919338
5663.232422	-33.963169
5673.999023	-33.641441
5684.765625	-33.093575
5695.532227	-33.512089
5706.298828	-34.702862
5717.065430	-35.534031
5727.832031	-35.617886
5738.598633	-35.709213
5749.365234	-35.461170
5760.131836	-35.506039
5770.898438	-34.580402
5781.665039	-34.555790
5792.431641	-36.697472
5803.198242	-39.550072
5813.964844	-41.498650
5824.731445	-41.885330
5835.498047	-39.764462
5846.264648	-37.708595
5857.031250	-36.971481
5867.797852	-36.473682
5878.564453	-35.164249
5889.331055	-34.257900
5900.097656	-34.562897
5910.864258	-35.202522
5921.630859	-35.682388
5932.397461	-36.696869
5943.164062	-38.405537
5953.930664	-40.364555
5964.697266	-39.520710
5975.463867	-37.462219
5986.230469	-37.252209
5996.997070	-38.550972
6007.763672	-39.538277
6018.530273	-40.241528
6029.296875	-40.499660
6040.063477	-42.000774
6050.830078	-43.518257
6061.596680	-41.713509
6072.363281	-40.415939
6083.129883	-41.411961
6093.896484	-41.456936
6104.663086	-40.676514
6115.429688	-40.730057
6126.196289	-40.028198
6136.962891	-40.081894
6147.729492	-41.301132
6158.496094	-44.040298
6169.262695	-43.400230
6180.029297	-39.150322
6190.795898	-37.290375
6201.562500	-36.916588
6212.329102	-36.639343
6223.095703	-36.794277
6233.862305	-37.184525
6244.628906	-37.031906
6255.395508	-36.742691
6266.162109	-38.593662
6276.928711	-42.764164
6287.695312	-44.206432
6298.461914	-41.866184
6309.228516	-39.050774
6319.995117	-36.327213
6330.761719	-35.359341
6341.528320	-35.418568
6352.294922	-35.495319
6363.061523	-35.495892
6373.828125	-34.424343
6384.594727	-32.749130
6395.361328	-32.534630
6406.127930	-33.758652
6416.894531	-35.413738
6427.661133	-36.635265
6438.427734	-37.189354
6449.194336	-37.007088
6459.960938	-36.986111
6470.727539	-37.218330
6481.494141	-37.222626
6492.260742	-38.368202
6503.027344	-37.856880
6513.793945	-34.833263
6524.560547	-33.280975
6535.327148	-33.309422
6546.093750	-33.885105
6556.860352	-34.539841
6567.626953	-34.403763
6578.393555	-34.837559
6589.160156	-36.651707
6599.926758	-39.307842
6610.693359	-39.598816
6621.459961	-38.476486
6632.226562	-37.771091
6642.993164	-35.473972
6653.759766	-34.009727
6664.526367	-33.326710
6675.292969	-33.335594
6686.059570	-34.503082
6696.826172	-35.872997
6707.592773	-37.129154
6718.359375	-37.430336
6729.125977	-36.963127
6739.892578	-38.232708
6750.659180	-38.574226
6761.425781	-38.619461
6772.192383	-41.574669
6782.958984	-41.487194
6793.725586	-37.834148
6804.492188	-37.237358
6815.258789	-38.661495
6826.025391	-39.110783
6836.791992	-38.066998
6847.558594	-36.962517
6858.325195	-35.899002
6869.091797	-34.803524
6879.858398	-34.023544
6890.625000	-33.292027
6901.391602	-33.558929
6912.158203	-34.639874
6922.924805	-35.537689
6933.691406	-36.733059
6944.458008	-38.421474
6955.224609	-40.956394
6965.991211	-42.260300
6976.757812	-42.036526
6987.524414	-39.088787
6998.291016	-37.460510
7009.057617	-36.639992
7019.824219	-34.922104
7030.590820	-34.023533
7041.357422	-34.124077
7052.124023	-33.735340
7062.890625	-33.934402
7073.657227	-34.538166
7084.423828	-34.995049
7095.190430	-35.538528
7105.957031	-35.110737
7116.723633	-35.600365
7127.490234	-36.967182
7138.256836	-37.796261
7149.023438	-38.445709
7159.790039	-37.385910
7170.556641	-35.357677
7181.323242	-35.203552
7192.089844	-37.092178
7202.856445	-39.377216
7213.623047	-41.063435
7224.389648	-41.183575
7235.156250	-38.504108
7245.922852	-37.078800
7256.689453	-37.445053
7267.456055	-38.679028
7278.222656	-40.311844
7288.989258	-41.183739
7299.755859	-39.376724
7310.522461	-37.309147
7321.289062	-37.405758
7332.055664	-38.642921
7342.822266	-39.302601
7353.588867	-36.559231
7364.355469	-34.066612
7375.122070	-35.039696
7385.888672	-37.700420
7396.655273	-39.058445
7407.421875	-39.127838
7418.188477	-37.595707
7428.955078	-37.236870
7439.721680	-38.498806
7450.488281	-39.588291
7461.254883	-38.955288
7472.021484	-39.035728
7482.788086	-39.809307
7493.554688	-39.708050
7504.321289	-38.766590
7515.087891	-36.947124
7525.854492	-36.338913
7536.621094	-35.916016
7547.387695	-34.813633
7558.154297	-33.885551
7568.920898	-34.138817
7579.687500	-35.538643
7590.454102	-37.257595
7601.220703	-37.281601
7611.987305	-36.061916
7622.753906	-36.106247
7633.520508	-37.380840
7644.287109	-39.165085
7655.053711	-40.499641
7665.820312	-38.584721
7676.586914	-35.855583
7687.353516	-34.871487
7698.120117	-35.495884
7708.886719	-37.134232
7719.653320	-38.451645
7730.419922	-38.331146
7741.186523	-37.849876
7751.953125	-37.690468
7762.719727	-36.139194
7773.486328	-35.243958
7784.252930	-35.634193
7795.019531	-36.313934
7805.786133	-37.018929
7816.552734	-37.439297
7827.319336	-36.919685
7838.085938	-35.362579
7848.852539	-35.094368
7859.619141	-36.839851
7870.385742	-38.548923
7881.152344	-37.462318
7891.918945	-36.968491
7902.685547	-36.620579
7913.452148	-35.423916
7924.218750	-35.464520
7934.985352	-37.607834
7945.751953	-39.486233
7956.518555	-38.786572
7967.285156	-38.184204
7978.051758	-38.784081
7988.818359	-39.718891
7999.584961	-40.334454
8010.351562	-40.914433
8021.118164	-39.470543
8031.884766	-37.278236
8042.651367	-36.066120
8053.417969	-35.675747
8064.184570	-36.525230
8074.951172	-38.765045
8085.717773	-41.971115
8096.484375	-44.960861
8107.250977	-46.015305
8118.017578	-44.439915
8128.784180	-41.361191
8139.550781	-39.214970
8150.317383	-39.742573
8161.083984	-41.842091
8171.850586	-43.076050
8182.617188	-42.330494
8193.383789	-42.058640
8204.150391	-42.210880
8214.916992	-41.720974
8225.683594	-41.346600
8236.450195	-39.611637
8247.216797	-38.212894
8257.983398	-39.069111
8268.750000	-42.141514
8279.516602	-45.766766
8290.283203	-47.630028
8301.049805	-45.641827
8311.816406	-43.333519
8322.583008	-42.147549
8333.349609	-39.944939
8344.116211	-37.882843
8354.882812	-37.249535
8365.649414	-36.477535
8376.416016	-35.000889
8387.182617	-34.078804
8397.949219	-34.005386
8408.715820	-35.671566
8419.482422	-38.518978
8430.249023	-40.766735
8441.015625	-40.198677
8451.782227	-36.607746
8462.548828	-34.257648
8473.315430	-33.642601
8484.082031	-33.429356
8494.848633	-33.593151
8505.615234	-34.841164
8516.381836	-36.778286
8527.148438	-37.225243
8537.915039	-35.161438
8548.681641	-33.719208
8559.448242	-33.323746
8570.214844	-33.213833
8580.981445	-34.215652
8591.748047	-35.114258
8602.514648	-34.236328
8613.281250	-33.515179
8624.047852	-33.903671
8634.814453	-34.528652
8645.581055	-35.324371
8656.347656	-37.062077
8667.114258	-38.349789
8677.880859	-38.030602
8688.647461	-36.274887
8699.414062	-34.393623
8710.180664	-33.599445
8720.947266	-33.551712
8731.713867	-34.179607
8742.480469	-34.223732
8753.247070	-33.230423
8764.013672	-33.141212
8774.780273	-33.784767
8785.546875	-33.919098
8796.313477	-34.463280
8807.080078	-35.682259
8817.846680	-36.699883
8828.613281	-37.487808
8839.379883	-37.332951
8850.146484	-37.715115
8860.913086	-37.482471
8871.679688	-36.331474
8882.446289	-35.727036
8893.212891	-35.125004
8903.979492	-34.378685
8914.746094	-34.298752
8925.512695	-34.128780
8936.279297	-34.072594
8947.045898	-34.543331
8957.812500	-35.476139
8968.579102	-35.963547
8979.345703	-35.861977
8990.112305	-35.260735
9000.878906	-33.715412
9011.645508	-32.379780
9022.412109	-32.583839
9033.178711	-33.691704
9043.945312	-33.855015
9054.711914	-32.882072
9065.478516	-33.348469
9076.245117	-34.893185
9087.011719	-35.739975
9097.778320	-35.703476
9108.544922	-34.667286
9119.311523	-33.258743
9130.078125	-32.092213
9140.844727	-31.197321
9151.611328	-30.792187
9162.377930	-30.079039
9173.144531	-29.942614
9183.911133	-30.930449
9194.677734	-32.370979
9205.444336	-33.902500
9216.210938	-34.763714
9226.977539	-33.807373
9237.744141	-32.443333
9248.510742	-31.817459
9259.277344	-32.145782
9270.043945	-31.824402
9280.810547	-31.255974
9291.577148	-31.485043
9302.343750	-32.376404
9313.110352	-32.834171
9323.876953	-33.916241
9334.643555	-35.359543
9345.410156	-35.511902
9356.176758	-35.639027
9366.943359	-34.731709
9377.709961	-33.488445
9388.476562	-32.691235
9399.243164	-31.608139
9410.009766	-30.998873
9420.776367	-31.568289
9431.542969	-32.520931
9442.309570	-32.727089
9453.076172	-32.685539
9463.842773	-32.783859
9474.609375	-32.836590
9485.375977	-32.706833
9496.142578	-32.632053
9506.909180	-33.458561
9517.675781	-33.872639
9528.442383	-33.513180
9539.208984	-32.860325
9549.975586	-32.205261
9560.742188	-32.310528
9571.508789	-32.979141
9582.275391	-33.887901
9593.041992	-34.857021
9603.808594	-35.459923
9614.575195	-33.943851
9625.341797	-32.939133
9636.108398	-33.095306
9646.875000	-33.793800
9657.641602	-34.771278
9668.408203	-34.143036
9679.174805	-32.922817
9689.941406	-32.502079
9700.708008	-32.867382
9711.474609	-32.936764
9722.241211	-32.764317
9733.007812	-32.677490
9743.774414	-33.611614
9754.541016	-34.582130
9765.307617	-33.690186
9776.074219	-32.254730
9786.840820	-32.127052
9797.607422	-32.633900
9808.374023	-33.041134
9819.140625	-33.508766
9829.907227	-34.275879
9840.673828	-35.311180
9851.440430	-36.407059
9862.207031	-36.635479
9872.973633	-36.230869
9883.740234	-36.003227
9894.506836	-35.747684
9905.273438	-35.757397
9916.040039	-35.016518
9926.806641	-33.747967
9937.573242	-33.312843
9948.339844	-33.654903
9959.106445	-34.690804
9969.873047	-35.368816
9980.639648	-35.374271
9991.406250	-35.795952
10002.172852	-36.995548
10012.939453	-37.932560
10023.706055	-36.961540
10034.472656	-35.226627
10045.239258	-34.303745
10056.005859	-34.978798
10066.772461	-35.688152
10077.539062	-35.908260
10088.305664	-37.251335
10099.072266	-39.149395
10109.838867	-39.604984
10120.605469	-39.133198
10131.372070	-38.439892
10142.138672	-37.704109
10152.905273	-37.211239
10163.671875	-37.061268
10174.438477	-37.081470
10185.205078	-36.970940
10195.971680	-36.502274
10206.738281	-36.777267
10217.504883	-37.832943
10228.271484	-38.487579
10239.038086	-38.189713
10249.804688	-37.686401
10260.571289	-37.528572
10271.337891	-37.579941
10282.104492	-36.824905
10292.871094	-35.776398
10303.637695	-35.605679
10314.404297	-36.489079
10325.170898	-37.791264
10335.937500	-38.732807
10346.704102	-39.515053
10357.470703	-40.609055
10368.237305	-41.193195
10379.003906	-40.726830
10389.770508	-39.857456
10400.537109	-38.917496
10411.303711	-38.467037
10422.070312	-38.598988
10432.836914	-39.227654
10443.603516	-39.813030
10454.370117	-40.277588
10465.136719	-40.751881
10475.903320	-39.823895
10486.669922	-38.888039
10497.436523	-39.346588
10508.203125	-40.633484
10518.969727	-40.896011
10529.736328	-40.262398
10540.502930	-40.292942
10551.269531	-40.898869
10562.036133	-40.306084
10572.802734	-39.139019
10583.569336	-38.575703
10594.335938	-39.109741
10605.102539	-39.546848
10615.869141	-39.442616
10626.635742	-39.752544
10637.402344	-40.001938
10648.168945	-40.390484
